h_type,date,adress,loc,num_floor,unit_per_floor,price,age,statuse,view,doc_status,north,south,west,east,floor,area,num_sleep,telephone,kitchen,service,floor_covering,open,parking,warehouse,balcony,equipment,Document_type,Propertyـstatus
آپارتمان,1404/02/10,تهرانپارس خ استخر,4,4,2,"4,000,000,000 تومان",23,اجاره,سنگ,شخصي,0,1,0,0,همكف,54,1,1,فلزي,ايراني فرنگي,سراميک,1,0,1,0,کولر_گاز,شخصي,اجاره
آپارتمان,1404/02/08,هنگام شمیران نو خ دهم,4,4,1,"1,550,000,000 تومان",30,مسکونی,آجر,قولنامه اي,1,0,0,0,4,50,1,1,MDF,ايرانی,موزائيک,0,0,0,0,کولر_گاز,قولنامه اي,مسکونی
آپارتمان,1404/01/28,اتوبان بابایی شهرك شهید بهشتی,4,19,10,"9,850,000,000 تومان",3,اجاره,ترکیبی,تعاوني,1,0,0,0,15,95,2,0,هایگلاس,ايراني فرنگي,سراميک,1,1,1,1,آسانسور_چیلر,تعاوني,اجاره
آپارتمان,1404/02/07,هنگام شمیران نو خ شقایق,4,4,1,"3,000,000,000 تومان",18,مسکونی,سنگ,شخصي,1,0,0,0,همكف,70,1,1,MDF,ايرانی,سراميک,0,0,1,0,کولر_گاز,شخصي,مسکونی
آپارتمان,1404/02/11,خواجه عبدالله خ تیسفون,4,5,1,"48,000,000,000 تومان",نوساز,تخلیه,سنگ,شخصي,1,0,0,0,مختلف,192,3,0,MDF,ايراني فرنگي,سنگ,1,1,1,1,آسانسور_پکیج,شخصي,تخلیه
آپارتمان,1404/02/03,شمس اباد خ محمودی,4,5,4,"10,500,000,000 تومان",2,اجاره,سنگ,شخصي,0,1,0,0,5,97,2,1,چوبي,ايراني فرنگي,سراميک,1,1,1,1,شوفاژ_کولر_آسانسور_گاز,شخصي,اجاره
آپارتمان,1404/02/01,جشنواره خ درختی,4,4,4,"4,600,000,000 تومان",20,مسکونی,سنگ,شخصي,1,0,0,0,1,68,2,1,MDF,ايرانی,سراميک,1,0,1,0,شوفاژ_کولر_گاز,شخصي,مسکونی
آپارتمان,1404/02/01,جشنواره بالاتر از خ جعفرپناه,4,4,2,"6,500,000,000 تومان",13,مسکونی,سنگ,شخصي,1,0,0,0,2,73,2,1,MDF,ايرانی,سنگ,1,0,1,1,شوفاژ_کولر_آسانسور_گاز,شخصي,مسکونی
آپارتمان,1404/02/03,سراج ك رضائیان,4,3,1,"3,000,000,000 تومان",19,مسکونی,سنگ,قولنامه اي,0,1,0,0,زیرهمكف,70,1,1,فلزي,ايرانی,سراميک,1,0,0,0,کولر_حیاط خلوت_گاز,قولنامه اي,مسکونی
آپارتمان,1404/02/07,تهران پارس خ وفادارشرقی,4,4,2,"4,000,000,000 تومان",20,مسکونی,سنگ,شخصي,0,1,0,0,همكف,47,1,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,شوفاژ_کولر_آسانسور,شخصي,مسکونی
آپارتمان,1404/02/01,هروی خ جمالی,4,5,3,"32,300,000,000 تومان",5,مسکونی,سنگ,شخصي,0,1,0,0,1,190,3,1,MDF,ايراني فرنگي,سنگ,1,1,1,1,شوفاژ_کولر_پکیج_گاز,شخصي,مسکونی
آپارتمان,1404/02/07,تهرانپارس خ 196غربی نبش ك 188,4,3,2,"11,000,000,000 تومان",20,مسکونی,سنگ,شخصي,0,1,0,0,1,99,2,1,MDF,ايراني فرنگي,سراميک,1,0,0,1,شوفاژ_کولر_گاز,شخصي,مسکونی
آپارتمان,1404/02/06,تهرانپارس خ استخر,4,6,3,"7,500,000,000 تومان",9,مسکونی,سنگ,شخصي,0,1,0,0,3,80,2,1,هایگلاس,ايراني فرنگي,پارکت,1,1,1,1,شوفاژ_کولر_آسانسور_گاز,شخصي,مسکونی
آپارتمان,1404/02/08,میدان رسالت خ طرقی,4,5,2,"14,950,000,000 تومان",4,اجاره,سنگ,شخصي,1,0,0,0,3,115,2,1,MDF,ايراني فرنگي,پارکت,1,1,1,1,آسانسور,شخصي,اجاره
آپارتمان,1404/01/31,هنگام شمیران نو خ غفاری شمالی,4,3,1,"2,700,000,000 تومان",20,مسکونی,سنگ,شخصي,0,1,0,0,همكف,55,1,1,MDF,ايرانی,سراميک,1,0,1,0,شوفاژ_کولر_گاز,شخصي,مسکونی
